id,reply_id,reply_content,reply_date
2863930,프갤러3(220.95),맞음. 개발 문외한들이 질문 하나면 다 해주고 될줄알음 ㅋㅋㅋㅋ 고도화할수록 이상하게 알려주는데 이걸 어떻게 물어서 해결해야하나도 아이디어 고갈나서 묻지도 못함ㅋㅋㅋㅋㅋ,06.12 21:10:50
2863929,루도그담당(223.39),순서는 없고 그냥 배우고싶은대로 배우면 됌,06.12 14:26:58
2863929,글쓴 프갤러(220.69),현재 4학년인데 게임 이론쪽으로만 많이 배워서 기초적인 지식이 너무 부족해 공부해보려고 합니다. 이런 방향으로 공부를 하면 괜찮을 까요?,06.12 14:28:01
2863929,루도그담당(223.39),ㄱㄱ 상관없음,06.12 14:30:23
2863929,글쓴 프갤러(220.69),@글쓴 프갤러(220.69) ㅇㅎ 감사합니다,06.12 14:50:05
2863927,프갤러1(211.235),내가볼때 프갤에서 ㅆㅇㅆ가 진국임 얘 빼면 다 똥글이야 루비정도만 가끔 쓸만한거 올리고,06.12 14:23:25
2863927,글쓴 프갤러(106.101),인정,06.12 14:23:53
2863927,루도그담당(223.39),다중이다,06.12 14:30:54
2863927,ㅆㅇㅆ(124.216),들켰뿟노,06.12 14:39:35
2863925,프갤러1(183.101),화면 crud 정도만 되는 앱들은 디자이너가 피그마랑 커서 2주붙잡고 만들더라   무슨 가계부 앱 혼자만듦,06.12 14:22:30
2863925,ㅆㅇㅆ(124.216),맞아,06.12 14:23:59
2863923,프갤러1(183.101),특이점은 2045년이고 구글의  agi 는 2035년이야,06.12 14:18:52
2863923,프갤러2(211.235),mcp 편하긴한데 순식간에 다 조질수있어서 무섭다,06.12 14:19:33
2863923,ㅆㅇㅆ(124.216),ㄹㅇ,06.12 14:19:59
2863918,프갤러1(211.235),??,06.12 14:08:03
2863918,프갤러1(211.235),앱 웹수요랑 딸깍하면 분석해서 가져다주는거랑 무슨 연관이있음?(진짜머름),06.12 14:08:32
2863918,글쓴 프갤러(183.101),트래픽줄어들고 광고수익 줄어들음,06.12 14:09:05
2863918,프갤러1(211.235),@글쓴 프갤러(183.101) 웹 앱을 너무 한정적으로만 보는듯 ㅇㅅㅇ;왠만한 회사들 웹하나씩 다 들고가는데 이게 트래픽이나 광고수익 노리는게 아니잖음 ㅇㅅㅇ,06.12 14:11:17
2863917,프갤러1(183.101),ai 딸깍 되면 언어안중요해짐,06.12 14:05:04
2863917,글쓴 프갤러(211.235),그런날은 안옴 ㅇㅅㅇ,06.12 14:05:35
2863917,글쓴 프갤러(211.235),그냥 고성능 구글링머신가지고 뭐할거임 ㅇㅅㅇ 한계가 명확함,06.12 14:05:58
2863917,프갤러1(183.101),머래 뇌도 퍼셉트론인데,06.12 14:06:21
2863917,프갤러2(106.101),원래 아는만큼 보인다.,06.12 14:13:40
2863917,글쓴 프갤러(211.235),나보다 잘 아는 너도 설명좀 ㅇㅅㅇ,06.12 14:14:49
2863917,프갤러2(106.101),나도 잘 모르는데?,06.12 14:24:31
2863917,글쓴 프갤러(211.235),@프갤러2(106.101) ㅇㅅㅇ..,06.12 14:27:52
2863909,배구공(119.202),페브리즈,06.12 13:33:06
2863907,프갤러1(218.154),기획서목적 이거랑 이거 테이블 하나로 처리하겠습니다.사유 내가 머리속에 이미 그렇게 계획되어있음이상 허가해주시기 바랍니다.  - dc App,06.12 13:30:06
2863907,ㅆㅇㅆ(124.216),ㅇ ㅅㅇ...,06.12 13:30:43
2863907,프갤러2(211.235),문서화 하라고,06.12 14:00:40
2863906,프갤러1(210.220),만들어진지 오래된 옵챗방 개당 5천원에 다삽니당 !!ㅅㅅㅅ~~아무도없어도 상관없음~~~ Open59  카톡 ㄱㄱ!!,06.12 13:23:00
2863905,배구공(119.202),ㅋ,06.12 13:13:01
2863904,배구공(119.202),존나 븅신같네,06.12 13:12:16
2863903,슈퍼막코더(126.156),게임을 때려치라 이기,06.12 13:07:59
2863903,ㅆㅇㅆ(124.216),안됩니다,06.12 13:11:07
2863903,슈퍼막코더(126.156),@ㅆㅇㅆ(124.216) 돈 안되면 때려치라 이기,06.12 13:12:54
2863903,프갤러1(106.102),게임개발만이 유일한 탈출구임 ㅇㅅㅇ,06.12 13:45:20
2863902,배구공(119.202),도레미파솔라 시도 피존투 또가스,06.12 13:00:55
2863901,배구공(119.202),중간언어가 보안에 쮜약하다고 줏어들은기억이 있어요,06.12 12:55:53
2863901,배구공(119.202),취,06.12 12:56:13
2863901,루도그담당(223.39),그러게 왜 c#을 안하려하는거지 자바 아니면 파이썬,06.12 13:03:33
2863901,ㅆㅇㅆ(124.216),ㄹㅇ..,06.12 13:11:13
2863901,프갤러1(211.235),사람구하기 힘듬,06.12 14:00:58
